DateTime,UCI_minutes,Batch,Temp1,Temp2,Pressure1
2018-06-29 09:20,0,1,-43.03,-49.39,35.62373673
2018-06-29 09:30,10.018,1,-42.81,-48.73,2.279812493
2018-06-29 09:40,20.036,1,-42.49,-48.03,0.693276314
2018-06-29 09:50,30.054,1,-42.02,-49.55,0.493292762
2018-06-29 10:00,40.077,1,-41.63,-48.12,0.426631578
2018-06-29 10:10,50.102,1,-41.29,-49,0.399967104
2018-06-29 10:21,60.121,1,-41.03,-49.24,0.346638157
2018-06-29 10:31,70.14,1,-40.81,-47.58,0.319973683
2018-06-29 10:41,80.158,1,-40.48,-49.32,0.29330921
2018-06-29 10:51,90.177,1,-40.07,-49.36,0.279976973
2018-06-29 11:01,100.195,1,-39.71,-49.36,0.29330921
2018-06-29 11:11,110.212,1,-39.35,-49.64,0.279976973
2018-06-29 11:21,120.229,1,-38.94,-48.73,0.29330921
2018-06-29 11:31,130.247,1,-38.61,-49.64,0.29330921
2018-06-29 11:41,140.265,1,-38.49,-49.28,0.266644736
2018-06-29 11:51,150.283,1,-38.54,-48.8,0.279976973
2018-06-29 12:01,160.3,1,-38.27,-49.06,0.279976973
2018-06-29 12:11,170.318,1,-38.21,-48.58,0.279976973
2018-06-29 12:21,180.336,1,-37.96,-48.4,0.306641446
2018-06-29 12:31,190.354,1,-37.85,-49.1,0.29330921
2018-06-29 12:41,200.372,1,-38.11,-48.77,0.29330921
2018-06-29 12:51,210.39,1,-37.88,-47.09,0.306641446
2018-06-29 13:01,220.407,1,-37.8,-46.51,0.29330921
2018-06-29 13:11,230.424,1,-38.03,-47.93,0.29330921
2018-06-29 13:21,240.442,1,-38.36,-45.87,0.279976973
2018-06-29 13:31,250.46,1,-38.5,-46.22,0.266644736
2018-06-29 13:41,260.478,1,-38.58,-47.29,0.266644736
2018-06-29 13:51,270.496,1,-38.63,-49.37,0.266644736
2018-06-29 14:01,280.514,1,-38.69,-48.84,0.266644736
2018-06-29 14:11,290.532,1,-38.63,-48.47,0.266644736
2018-06-29 14:21,300.551,1,-38.63,-49.21,0.266644736
2018-06-29 14:31,310.569,1,-38.52,-47.05,0.266644736
2018-06-29 14:41,320.587,1,-37.89,-47.78,0.266644736
