LotID,Y1,Y2,Y3,Y4,Y5,Y6
L001,30.583333333333332,3.5021638332824265,54.416666666666664,3.654594451654025,76.66666666666667,4.867953337591697
L002,32.25,3.278719262151,55.0,3.668043818514912,76.5,2.9076701075853593
L003,34.666666666666664,2.570225788926053,57.333333333333336,2.7080128015452796,77.66666666666667,2.3094010767585984
L004,27.416666666666668,4.29499356192412,54.166666666666664,5.859465277082297,79.83333333333333,5.0781767188508935
L005,29.666666666666668,3.498917581542067,57.083333333333336,5.884623002265111,80.83333333333333,4.26045950004405
L006,34.666666666666664,3.777124126457404,66.0,6.2289646009589745,81.66666666666667,6.562519841239884
L007,32.833333333333336,3.0605010483034647,62.833333333333336,2.994439290863387,84.33333333333333,2.0655911179774065
L008,29.666666666666668,2.4221202832779807,61.666666666666664,5.750362307426065,85.0,3.687817782917155
L009,30.5,3.8858718455450894,62.5,3.9370039370059056,82.66666666666667,3.6147844564603226
L010,32.333333333333336,3.614784456460247,64.83333333333333,7.413950813612566,84.33333333333333,3.559026084010505
L011,29.916666666666668,2.9987371079212974,60.833333333333336,6.739750917077144,84.58333333333333,5.599648257351621
L012,32.583333333333336,4.962739956796832,67.5,6.973977605094788,87.33333333333333,4.271115105265214
L013,33.333333333333336,5.573747990954256,66.5,5.468089245796926,85.5,2.4289915602982237
L014,34.166666666666664,3.311595788538602,72.0,3.521363372331802,91.0,2.0
L015,35.083333333333336,4.962739956796832,68.25,7.262919523166975,87.0,5.308655025693248
L016,32.916666666666664,2.9374798516394667,66.41666666666667,6.5429814351414635,86.5,6.007570980929738
L017,31.666666666666668,3.983298465677234,69.16666666666667,5.636192568273943,88.66666666666667,2.8751811537131275
L018,31.166666666666668,4.167333280008524,57.5,3.391164991562634,80.66666666666667,3.932768321000762
L019,28.166666666666668,3.1885210782848223,54.5,3.8858718455450894,79.83333333333333,2.316606713852645
L020,31.166666666666668,4.167333280008524,57.5,3.391164991562634,81.5,3.449637662132068
