0.13262,27375.96000,160956.80000,0.78157,26.10753
0.13654,27027.76000,165807.50000,0.82044,26.31333
0.13318,27360.55000,166254.40000,0.80102,26.10101
0.13049,27455.03000,161824.20000,0.78147,25.91900
0.13140,27493.16000,164110.80000,0.78501,25.99161
0.13421,27212.75000,167882.80000,0.81503,26.18038
0.13468,27049.55000,164627.90000,0.81187,26.34019
0.13160,27099.76000,156789.10000,0.78388,26.20350
0.13196,27476.21000,164167.70000,0.78958,25.97803
0.13214,27335.87000,163816.90000,0.79244,26.04916
0.13457,27194.11000,163388.00000,0.80204,26.20554
0.13395,27348.20000,167304.60000,0.80485,26.17592
0.13629,27089.93000,167829.10000,0.82395,26.29506
0.13336,27450.93000,167919.00000,0.80281,26.01470
0.13154,27468.55000,158893.90000,0.76796,26.04915
0.13442,27213.43000,169913.00000,0.82741,26.03977
0.13312,26834.94000,161817.00000,0.81716,26.30293
0.13380,27402.90000,164774.90000,0.79323,26.11586
0.13581,26918.36000,162997.80000,0.81655,26.36996
0.13606,26889.48000,163170.00000,0.82267,26.29219
0.13104,27772.63000,167759.30000,0.78302,25.85617
0.13316,27478.21000,162776.40000,0.78375,26.00445
0.13459,27220.90000,164192.40000,0.80459,26.17582
0.13286,27535.36000,167165.50000,0.79986,25.91933
0.13383,27244.47000,165990.50000,0.80369,26.25719
0.13487,27411.36000,166572.80000,0.80169,26.03730
0.13107,27551.64000,162416.20000,0.77759,25.99320
0.13128,27536.25000,163015.40000,0.77571,26.01464
0.13373,27184.14000,164219.70000,0.81046,26.08061
0.13385,26978.53000,160541.90000,0.80522,26.22272
0.13188,27547.14000,164373.60000,0.78060,26.01768
0.13105,27475.06000,163455.40000,0.78587,25.96700
0.12953,27808.33000,159262.00000,0.75029,25.83578
0.13362,27083.82000,162665.40000,0.80817,26.18098
0.13297,27635.24000,169066.50000,0.79540,25.93185
0.13487,26789.45000,162338.10000,0.81955,26.41623
0.13348,26979.41000,162537.70000,0.81173,26.26228
0.13533,27035.70000,165695.20000,0.81801,26.26803
0.13309,27259.42000,160437.40000,0.78774,26.12628
0.13147,27501.55000,163915.40000,0.78581,25.99809
0.13168,27656.24000,164359.70000,0.77734,25.95686
0.13274,27369.93000,164297.70000,0.79527,26.02863
0.13286,27433.10000,165825.10000,0.79539,26.08581
0.13100,27883.33000,165284.50000,0.76227,25.92793
0.13331,27419.70000,165910.60000,0.79641,26.08255
0.13142,27235.79000,162081.90000,0.79219,26.13129
0.13320,27507.25000,167629.00000,0.80216,25.94275
0.13027,27560.35000,162551.10000,0.77707,25.93284
0.13497,26875.68000,162736.40000,0.81417,26.42440
0.13150,27317.00000,157220.50000,0.77608,26.02055
0.13070,27495.49000,160112.50000,0.77248,25.96015
0.12975,27561.28000,158111.20000,0.76179,25.90369
0.12859,27641.04000,155678.20000,0.74880,25.83520
0.12709,27742.74000,152486.50000,0.73192,25.74686
